,SMILES,Name,Val,Neg,Pos,Mol,Cluster
80514,Cn1cncc1C(=O)NC[C@@H](CO)NC(=O)c1cncn1C,ZINC000644062250,0,0.27687848,0.7231215,<rdkit.Chem.rdchem.Mol object at 0x195299100>,48
2282,N=C(S)c1ncnc2c1ncn2[C@@H]1O[C@@H](CO)[C@@H](O)[C@H]1O,ZINC000006599502,0,0.2832293,0.7167707,<rdkit.Chem.rdchem.Mol object at 0x152745be0>,8
2038,CNC(=O)c1cn([C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncnc(N)c12,ZINC000004824757,0,0.31628078,0.6837192,<rdkit.Chem.rdchem.Mol object at 0x152745dc0>,1
32269,Cn1ncc2c1ncc(C(=O)NCCN1C(=O)CNC1=O)c2O,ZINC000355578508,0,0.337261,0.662739,<rdkit.Chem.rdchem.Mol object at 0x152745100>,47
2000,OCCNc1ncnc2c1ncn2[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O,ZINC000004722774,0,0.38247585,0.61752415,<rdkit.Chem.rdchem.Mol object at 0x152745040>,3
2144,Nc1ncnc2c1c1cncnc1n2[C@H]1O[C@@H](CO)[C@@H](O)[C@H]1O,ZINC000005390274,0,0.44067767,0.5593223,<rdkit.Chem.rdchem.Mol object at 0x1978b0b80>,9
32505,Cn1cc([C@@H](CO)NC(=O)NCCNC(=O)c2cc[nH]n2)cn1,ZINC000355919707,0,0.44361296,0.55638707,<rdkit.Chem.rdchem.Mol object at 0x197591a60>,21
34128,Cn1ncc2c1ncc(C(=O)NCCNS(C)(=O)=O)c2O,ZINC000358331111,0,0.49068895,0.5093111,<rdkit.Chem.rdchem.Mol object at 0x194b9ee20>,16
19920,O=C(NCCNC(=O)c1cnccn1)C(=O)NC[C@@H]1CCCO1,ZINC000339463821,0,0.5401102,0.45988977,<rdkit.Chem.rdchem.Mol object at 0x194b9ee80>,20
3879,CN(C)C(=O)CNC(=O)c1cnc2c(c1)c(=O)[nH]c(=O)n2C,ZINC000043111597,0,0.58600086,0.41399917,<rdkit.Chem.rdchem.Mol object at 0x19443ebe0>,46
53338,O=C(CN1C(=O)CCC1=O)N1CCN(C(=O)c2cn[nH]c2)CC1,ZINC000522858022,0,0.5920088,0.40799108,<rdkit.Chem.rdchem.Mol object at 0x1afee5e80>,45
2061,OC[C@@H](O)[C@@H]1O[C@H](n2cnc3c2nc[nH]c3=S)[C@@H](O)[C@@H]1O,ZINC000004897570,0,0.60176945,0.39823064,<rdkit.Chem.rdchem.Mol object at 0x1ae062f40>,7
2082,N=C(N)c1cn([C@H]2O[C@@H](CO)[C@@H](O)[C@H]2O)c2nc[nH]c(=O)c12,ZINC000004963007,0,0.612864,0.38713604,<rdkit.Chem.rdchem.Mol object at 0x1afee6a60>,5
25566,COc1c2cnn(C)c2ncc1C(=O)NCCS(N)(=O)=O,ZINC000345871177,0,0.6170321,0.38296795,<rdkit.Chem.rdchem.Mol object at 0x1afee6100>,44
2022,Cn1ncc2c1ncnc2NC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,ZINC000004777698,0,0.62292117,0.3770788,<rdkit.Chem.rdchem.Mol object at 0x1afee68e0>,6
48099,Cn1ncc2c1nc(NCCNC(=O)c1cnccn1)nc2N,ZINC000436402607,0,0.62292266,0.37707728,<rdkit.Chem.rdchem.Mol object at 0x1afee6ee0>,43
1071,OC[C@H]1O[C@H](On2cnc3c2ncnc3Cl)[C@H](O)[C@@H]1O,ZINC000072482059,0,0.6269017,0.37309828,<rdkit.Chem.rdchem.Mol object at 0x1afee61c0>,19
32264,CN(C)c1cnc(C(=O)N2CCN(S(N)(=O)=O)CC2)cn1,ZINC000355567693,0,0.62924474,0.37075526,<rdkit.Chem.rdchem.Mol object at 0x1afee6fa0>,42
